
2025/03/27 (22:27:12) | ===> btop++ v.1.4.0
2025/03/27 (22:27:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (22:30:02) | ===> btop++ v.1.4.0
2025/03/27 (22:30:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (22:32:00) | ===> btop++ v.1.4.0
2025/03/27 (22:32:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 1a1b1a88
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4FF
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ffffffEE
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2f99
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff0000CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4FF
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2fFF
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ffffffEE
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2f99
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 1a1b1acc
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:00) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 1a1b1a88
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4FF
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ffffffEE
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2f99
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff0000CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4FF
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2fFF
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ffffffEE
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2f99
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 1a1b1acc
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2f88
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: 4a4a2fCC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:32:06) | ERROR: Invalid size of hex value: ff69b4CC
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 1a1b1a44
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2f44
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2fff
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2faa
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff0000cc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2fff
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2f44
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2fff
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2f44
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2f99
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: 1a1b1acc
